"긴급","緊急"
"긴장","緊張"
"긴장감","緊張感"
"긴장되다","緊張-"
"긴장하다","緊張-"
"길","도로"
"길가",""
"길거리",""
"길다","밤이 ~"
"길어지다",""
"길이",""
"김","~이 서리다"
"김","해초"
"김",""
"김밥",""
"김치",""
"김치찌개",""
"김포공항","金浦空港"
"깊다",""
"깊숙이",""
"깊이",""
"깊이",""
"까다","마늘을 ~"
"까닭",""
"까만색","-色"
"까맣다",""
"까먹다",""
"까치",""
"깍두기",""
"깎다",""
"깔끔하다",""
"깔다",""
"깔리다",""
"깜빡",""
"깜짝","놀라는 모양"
"깡패","-牌"
"깨끗이",""
"깨끗하다",""
"깨끗해지다",""
"깨다","술이 ~"
"깨다","그릇을 ~"
"깨닫다",""
"깨달음",""
"깨뜨리다",""
"깨소금",""
"깨어나다",""
"깨어지다",""
"깨우다",""
"깨지다","깨어지다"
"꺼내다",""
"꺼지다","불이 ~"
"꺾다",""
"껌","gum"
"껍질",""
"꼬리",""
"꼬마",""
"꼭","힘을 주는 모양"
"꼭","반드시"
"꼭대기",""
"꼴","모양새"
"꼼꼼하다",""
"꼼짝",""
"꼽히다",""
"꽂다",""
"꽃",""
"꽃씨",""
"꽃잎",""
"꽉",""
"꽤",""
"꾸다","꿈을 ~"
"꾸다","돈을 ~"
"꾸리다",""
"꾸미다",""
"꾸준하다",""
"꾸준히",""
"꾸중",""
"꿀",""
"꿈",""
"꿈꾸다",""
"꿈속",""
"끄다","불을 ~"
"끄덕이다",""
"끈",""
"끊기다",""
"끊다",""
"끊어지다",""
"끊임없다",""
"끊임없이",""
"끌다",""
"끌리다",""
"끌어당기다",""
"끓다",""
"끓이다",""
"끝",""
"끝나다",""
"끝내",""
"끝내다",""
"끝없다",""
"끝없이",""
"끼","끼니"
"끼다","구름이 ~"
"끼다","끼우다"
"끼어들다",""
"끼우다",""
"나",""
"나가다",""
"나가다",""
"나누다",""
"나누어지다",""
"나뉘다",""
"나다",""
"나다",""
"나들이",""
"나라",""
"나란히",""
"나르다",""
"나름",""
"나머지",""
"나무",""
"나물",""
"나뭇가지",""
"나뭇잎",""
"나비",""
"나빠지다",""
"나쁘다",""
"나서다",""
"나아가다",""
"나아지다",""
"나오다",""
"나이",""
"나중",""
"나침반","羅針盤"
"나타나다",""
"나타내다",""
"나흘",""
"낙엽","落葉"
"낚시",""
"낚시꾼",""
"낚싯대",""
"난리","亂離"
"난방","暖房"
"날","어느 ~"
"날개",""
"날다",""
"날리다","날다'의 사동사"
"날씨",""
"날아가다",""
"날아다니다",""
